Symbol,Name,Sector,industry
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software
MMM,3M Company,Health Care,Medical/Dental Instruments
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines
AIR,AAR Corp.,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
ABB,ABB Ltd,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc.,Miscellaneous,Business Services
ACMP,"Access Midstream Partmers, L.P.",Public Utilities,Natural Gas Distribution
ACCO,Acco Brands Corporation,Consumer Durables,Publishing
AH,"Accretive Health, Inc.",Consumer Services,Other Consumer Services
ACW,Accuride Corporation New,Capital Goods,Auto Parts:O.E.M.
ACE,Ace Limited,Finance,Property-Casualty Insurers
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores
ACT,"Actavis, Inc.",Health Care,Major Pharmaceuticals
ATU,Actuant Corporation,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,Consumer Durables,Building Products
ADX,Adams Express Company (The),n/a,n/a
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling
PVD,"Administradora de Fondos de Pensiones-Provida, S.A.",Finance,Property-Casualty Insurers
ADT,ADT Corporation,Consumer Services,Diversified Commercial Services
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,Technology,Semiconductors
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,n/a
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,n/a
LCM,Advent/Claymore Enhanced Growth & Income Fund,n/a,n/a
ACM,Aecom Technology Corporation,Consumer Services,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing
AEB,Aegon NV,Finance,Life Insurance
AED,Aegon NV,Finance,Life Insurance
AEF,Aegon NV,Finance,Life Insurance
AEG,Aegon NV,Finance,Life Insurance
AEH,Aegon NV,Finance,Life Insurance
AEK,Aegon NV,Finance,Life Insurance
AEV,Aegon NV,Finance,Life Insurance
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services
ARX,Aeroflex Holding Corp.,Technology,Semiconductors
ARO,Aeropostale Inc,Consumer Services,Clothing/Shoe/Accessory Stores
AET,Aetna Inc.,Health Care,Medical Specialities
AFM,"Affiliated Managers Group, Inc.",n/a,n/a
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers
MGR,"Affiliated Managers Group, Inc.",Finance,Investment Managers
AFL,Aflac Incorporated,Finance,Accident &Health Insurance
AFSD,Aflac Incorporated,Finance,Accident &Health Insurance
MITT,"AG Mortgage Investment Trust, Inc.",n/a,n/a
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components
A,"Agilent Technologies, Inc.",Capital Goods,Electrical Products
GAS,"AGL Resources, Inc.",Public Utilities,Oil/Gas Transmission
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
GRO,Agria Corporation,Consumer Non-Durables,Farming/Seeds/Milling
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals
AL,Air Lease Corporation,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
AYR,Aircastle Limited,Technology,Diversified Commercial Services
ARG,"Airgas, Inc.",Capital Goods,Industrial Machinery/Components
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore
ALP^N,Alabama Power Company,Public Utilities,Electric Utilities: Central
ALP^O,Alabama Power Company,Public Utilities,Electric Utilities: Central
ALP^P,Alabama Power Company,n/a,n/a
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services
AIN,Albany International Corporation,Basic Industries,Textiles
ALB,Albemarle Corporation,Basic Industries,Major Chemicals
ALU,Alcatel Lucent,Public Utilities,Telecommunications Equipment
AA,Alcoa Inc.,Capital Goods,Metal Fabrications
ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALR^B,Alere Inc.,n/a,n/a
ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts
ARE^E,"Alexandria Real Estate Equities, Inc.",n/a,n/a
Y,Alleghany Corporation,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore
AGN,"Allergan, Inc.",Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",Public Utilities,Power Generation
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a
AB,Alliance Capital Management Holding L.P.,Finance,Investment Managers
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a
AYN,Alliance New York Municipal Income Fund Inc,n/a,n/a
AOI,"Alliance One International, Inc.",Consumer Services,Farming/Seeds/Milling
AWF,Alliance World Dollar Government Fund II,n/a,n/a
ACG,ALLIANCEBERNSTEIN INCOME FUND INC,n/a,n/a
LNT,Alliant Energy Corporation,Public Utilities,Power Generation
ATK,Alliant Techsystems Inc.,Capital Goods,Military/Government/Technical
NCV,AllianzGI Convertible & Income Fund,n/a,n/a
NCZ,AllianzGI Convertible & Income Fund II,n/a,n/a
NIE,AllianzGI Equity & Convertible Income Fund,n/a,n/a
NGZ,AllianzGI Global Equity & Convertible Income Fund,n/a,n/a
NAI,AllianzGI International & Premium Strategy Fund,n/a,n/a
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services
AWH,"Allied World Assurance Company Holdings, AG",Finance,Property-Casualty Insurers
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),n/a,n/a
ALL^B,Allstate Corporation (The),n/a,n/a
BSI,Alon Blue Square Israel Ltd.,Consumer Services,Department/Specialty Retail Stores
ALJ,"Alon USA Energy, Inc.",Energy,Integrated oil Companies
ALDW,"Alon USA Partners, LP",Energy,Integrated oil Companies
ANR,"Alpha Natural Resources, inc.",Energy,Coal Mining
AGD,Alpine Global Dynamic Dividend Fund,n/a,n/a
AWP,Alpine Global Premier Properties Fund,n/a,n/a
AOD,Alpine Total Dynamic Dividend Fund,n/a,n/a
RESI,Altisource Residential Corporation,Finance,Real Estate
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
AWC,Alumina Ltd,Capital Goods,Metal Fabrications
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum
AMBO,Ambow Education Holding Ltd.,Consumer Services,Other Consumer Services
ACO,Amcol International Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
DOX,Amdocs Limited,Technology,EDP Services
AEE,Ameren Corporation,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
